00,adroitness
01,adviser
02,aftermath
03,aggregate
04,alkali
05,almighty
06,amulet
07,amusement
08,antenna
09,applicant
0A,Apollo
0B,armistice
0C,article
0D,asteroid
0E,Atlantic
0F,atmosphere
10,autopsy
11,Babylon
12,backwater
13,barbecue
14,belowground
15,bifocals
16,bodyguard
17,bookseller
18,borderline
19,bottomless
1A,Bradbury
1B,bravado
1C,Brazilian
1D,breakaway
1E,Burlington
1F,businessman
20,butterfat
21,Camelot
22,candidate
23,cannonball
24,Capricorn
25,caravan
26,caretaker
27,celebrate
28,cellulose
29,certify
2A,chambermaid
2B,Cherokee
2C,Chicago
2D,clergyman
2E,coherence
2F,combustion
30,commando
31,company
32,component
33,concurrent
34,confidence
35,conformist
36,congregate
37,consensus
38,consulting
39,corporate
3A,corrosion
3B,councilman
3C,crossover
3D,crucifix
3E,cumbersome
3F,customer
40,Dakota
41,decadence
42,December
43,decimal
44,designing
45,detector
46,detergent
47,determine
48,dictator
49,dinosaur
4A,direction
4B,disable
4C,disbelief
4D,disruptive
4E,distortion
4F,document
50,embezzle
51,enchanting
52,enrollment
53,enterprise
54,equation
55,equipment
56,escapade
57,Eskimo
58,everyday
59,examine
5A,existence
5B,exodus
5C,fascinate
5D,filament
5E,finicky
5F,forever
60,fortitude
61,frequency
62,gadgetry
63,Galveston
64,getaway
65,glossary
66,gossamer
67,graduate
68,gravity
69,guitarist
6A,hamburger
6B,Hamilton
6C,handiwork
6D,hazardous
6E,headwaters
6F,hemisphere
70,hesitate
71,hideaway
72,holiness
73,hurricane
74,hydraulic
75,impartial
76,impetus
77,inception
78,indigo
79,inertia
7A,infancy
7B,inferno
7C,informant
7D,insincere
7E,insurgent
7F,integrate
80,intention
81,inventive
82,Istanbul
83,Jamaica
84,Jupiter
85,leprosy
86,letterhead
87,liberty
88,maritime
89,matchmaker
8A,maverick
8B,Medusa
8C,megaton
8D,microscope
8E,microwave
8F,midsummer
90,millionaire
91,miracle
92,misnomer
93,molasses
94,molecule
95,Montana
96,monument
97,mosquito
98,narrative
99,nebula
9A,newsletter
9B,Norwegian
9C,October
9D,Ohio
9E,onlooker
9F,opulent
A0,Orlando
A1,outfielder
A2,Pacific
A3,pandemic
A4,Pandora
A5,paperweight
A6,paragon
A7,paragraph
A8,paramount
A9,passenger
AA,pedigree
AB,Pegasus
AC,penetrate
AD,perceptive
AE,performance
AF,pharmacy
B0,phonetic
B1,photograph
B2,pioneer
B3,pocketful
B4,politeness
B5,positive
B6,potato
B7,processor
B8,provincial
B9,proximate
BA,puberty
BB,publisher
BC,pyramid
BD,quantity
BE,racketeer
BF,rebellion
C0,recipe
C1,recover
C2,repellent
C3,replica
C4,reproduce
C5,resistor
C6,responsive
C7,retraction
C8,retrieval
C9,retrospect
CA,revenue
CB,revival
CC,revolver
CD,sandalwood
CE,sardonic
CF,Saturday
D0,savagery
D1,scavenger
D2,sensation
D3,sociable
D4,souvenir
D5,specialist
D6,speculate
D7,stethoscope
D8,stupendous
D9,supportive
DA,surrender
DB,suspicious
DC,sympathy
DD,tambourine
DE,telephone
DF,therapist
E0,tobacco
E1,tolerance
E2,tomorrow
E3,torpedo
E4,tradition
E5,travesty
E6,trombonist
E7,truncated
E8,typewriter
E9,ultimate
EA,undaunted
EB,underfoot
EC,unicorn
ED,unify
EE,universe
EF,unravel
F0,upcoming
F1,vacancy
F2,vagabond
F3,vertigo
F4,Virginia
F5,visitor
F6,vocalist
F7,voyager
F8,warranty
F9,Waterloo
FA,whimsical
FB,Wichita
FC,Wilmington
FD,Wyoming
FE,yesteryear
FF,Yucatan 
