HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode
3NI0WFPPI9GZVF8ZEPMHAZJJP2O60S,34S6YYW6IUSPRRIPDARPF13JDKFSBA,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Tue Aug 06 01:34:08 PDT 2019,100,BatchId:3727032;OriginalHitTemplateId:920937340;,1200,259200,Tue Aug 06 03:30:33 PDT 2019,,,31N2WW6R9RQUHKY1O7C6VNPRD7GF31,ADLF8HVS3C7IL,Approved,Tue Aug 06 01:35:06 PDT 2019,Tue Aug 06 01:41:21 PDT 2019,Fri Aug 09 01:41:21 PDT 2019,Tue Aug 06 02:15:58 PDT 2019,,,375,100% (2/2),100% (2/2),100% (2/2),c8efbb28-9d91-4bad-9891-652828af72bb
3NI0WFPPI9GZVF8ZEPMHAZJJP2O60S,34S6YYW6IUSPRRIPDARPF13JDKFSBA,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Tue Aug 06 01:34:08 PDT 2019,100,BatchId:3727032;OriginalHitTemplateId:920937340;,1200,259200,Tue Aug 06 03:30:33 PDT 2019,,,3D4CH1LGEATMAMJCG0JY4LSPEEQG9I,AZCGF2D7QIO10,Approved,Tue Aug 06 01:43:49 PDT 2019,Tue Aug 06 01:50:59 PDT 2019,Fri Aug 09 01:50:59 PDT 2019,Tue Aug 06 02:15:58 PDT 2019,,,430,100% (2/2),100% (2/2),100% (2/2),b4950fa3-a32c-4e5d-8fc8-76e23b7a46a8
3NI0WFPPI9GZVF8ZEPMHAZJJP2O60S,34S6YYW6IUSPRRIPDARPF13JDKFSBA,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Tue Aug 06 01:34:08 PDT 2019,100,BatchId:3727032;OriginalHitTemplateId:920937340;,1200,259200,Tue Aug 06 03:30:33 PDT 2019,,,3F1567XTNW5DNBDQJWOAYZWRK109Q7,A2P3UQZWK9Y3B3,Approved,Tue Aug 06 02:04:52 PDT 2019,Tue Aug 06 02:24:10 PDT 2019,Fri Aug 09 02:24:10 PDT 2019,Tue Aug 06 02:41:29 PDT 2019,,,1158,100% (2/2),100% (2/2),100% (2/2),7102de1a-b5c0-4f4c-83b1-630df4f657f3
3NI0WFPPI9GZVF8ZEPMHAZJJP2O60S,34S6YYW6IUSPRRIPDARPF13JDKFSBA,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Tue Aug 06 01:34:08 PDT 2019,100,BatchId:3727032;OriginalHitTemplateId:920937340;,1200,259200,Tue Aug 06 03:30:33 PDT 2019,,,3GU1KF0O4I1BBSR8H3NHP01735GPB5,A1O7NHQ5GTT78D,Approved,Tue Aug 06 01:36:11 PDT 2019,Tue Aug 06 01:43:47 PDT 2019,Fri Aug 09 01:43:47 PDT 2019,Tue Aug 06 02:15:58 PDT 2019,,,456,100% (2/2),100% (2/2),100% (2/2),ee79366a-3f88-4a91-9b83-2a49dda51010
3NI0WFPPI9GZVF8ZEPMHAZJJP2O60S,34S6YYW6IUSPRRIPDARPF13JDKFSBA,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Tue Aug 06 01:34:08 PDT 2019,100,BatchId:3727032;OriginalHitTemplateId:920937340;,1200,259200,Tue Aug 06 03:30:33 PDT 2019,,,3ITXP059PWJE635CXC4SITPVYUWJS0,A37LZED187CKU3,Approved,Tue Aug 06 01:35:52 PDT 2019,Tue Aug 06 01:50:49 PDT 2019,Fri Aug 09 01:50:49 PDT 2019,Tue Aug 06 02:15:58 PDT 2019,,,897,100% (2/2),100% (2/2),100% (2/2),cd0e46f1-17f8-4758-b596-fed18b7a7b78
3NI0WFPPI9GZVF8ZEPMHAZJJP2O60S,34S6YYW6IUSPRRIPDARPF13JDKFSBA,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Tue Aug 06 01:34:08 PDT 2019,100,BatchId:3727032;OriginalHitTemplateId:920937340;,1200,259200,Tue Aug 06 03:30:33 PDT 2019,,,3PB5A5BD0V6IW3VJ13LEQP1JJO7G7B,A1K273J5ZRTU1F,Approved,Tue Aug 06 03:30:56 PDT 2019,Tue Aug 06 03:38:42 PDT 2019,Fri Aug 09 03:38:42 PDT 2019,Tue Aug 06 05:00:15 PDT 2019,,,466,100% (2/2),100% (2/2),100% (2/2),c661bc63-9217-4989-837d-7b9e8a1ee917
3NI0WFPPI9GZVF8ZEPMHAZJJP2O60S,34S6YYW6IUSPRRIPDARPF13JDKFSBA,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Tue Aug 06 01:34:08 PDT 2019,100,BatchId:3727032;OriginalHitTemplateId:920937340;,1200,259200,Tue Aug 06 03:30:33 PDT 2019,,,3RRCEFRB7MCPMZ5PJJVTM2QCC9KB40,A3D2GO0IFRFN6R,Approved,Tue Aug 06 01:49:23 PDT 2019,Tue Aug 06 01:55:35 PDT 2019,Fri Aug 09 01:55:35 PDT 2019,Tue Aug 06 02:15:58 PDT 2019,,,372,100% (2/2),100% (2/2),100% (2/2),3fb11e81-42cc-4bba-96dd-3b242a3b50bc
39AYGO6AFFK2GB06FVOFLBFWXV06N4,3PFYYPJUJW5S4Q47P9SMA1XI6T62ZR,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Tue Aug 06 03:32:34 PDT 2019,113,BatchId:3727084;OriginalHitTemplateId:920937340;,1200,259200,Tue Aug 13 03:32:34 PDT 2019,,,3HMIGG0U4L6MI8L25EZQBP4IZ49Y8K,A114QMK46LJGUB,Approved,Tue Aug 06 05:46:20 PDT 2019,Tue Aug 06 05:59:47 PDT 2019,Fri Aug 09 05:59:47 PDT 2019,Tue Aug 06 06:26:56 PDT 2019,,,807,100% (1/1),100% (1/1),100% (1/1),1f8defbd-0669-4974-9033-718779ed101f
39AYGO6AFFK2GB06FVOFLBFWXV06N4,3PFYYPJUJW5S4Q47P9SMA1XI6T62ZR,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Tue Aug 06 03:32:34 PDT 2019,113,BatchId:3727084;OriginalHitTemplateId:920937340;,1200,259200,Tue Aug 13 03:32:34 PDT 2019,,,3J88R45B2GYIOVU9MZFZEXSZM8PPXZ,A15VY1E6KQV4IY,Approved,Tue Aug 06 07:31:38 PDT 2019,Tue Aug 06 07:41:50 PDT 2019,Fri Aug 09 07:41:50 PDT 2019,Tue Aug 06 07:45:46 PDT 2019,,,612,100% (1/1),100% (1/1),100% (1/1),dc2f4027-5c25-4ce8-a772-f172604e93a2
39AYGO6AFFK2GB06FVOFLBFWXV06N4,3PFYYPJUJW5S4Q47P9SMA1XI6T62ZR,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Tue Aug 06 03:32:34 PDT 2019,113,BatchId:3727084;OriginalHitTemplateId:920937340;,1200,259200,Tue Aug 13 03:32:34 PDT 2019,,,3LYA37P8IQNA01US4BI9TJF89VLBK1,A16OTH6EQHJFA,Approved,Tue Aug 06 05:40:04 PDT 2019,Tue Aug 06 05:49:11 PDT 2019,Fri Aug 09 05:49:11 PDT 2019,Tue Aug 06 05:56:16 PDT 2019,,,547,100% (1/1),100% (1/1),100% (1/1),5e198193-5a35-4db7-b6ba-93a74d5ec425
