Timestamp,Gender ,Age,Highest Education,MILO-MAHALIA,CASK-CAZZIE,URBANISM-URBANE,RODRIGO-RETROACTIVE,ALBERTO-ALBERICH,LOEB-LEBBIE,TENN-TANIA,SELVES-SYLPHS,ZIT-SIT,DRUID-TIRADE,KALINDI-KALINDA,MOCK-DOCK,ANTING-ANTIN,VEX-DEX,DAMPER-DAMPED,CURED-CARED,CECELIA-CECILE,KILLIE-KELLY,BITTY-BATTY,KOHL-KIELE,STATUTORY-CYTOLOGY,POUNDAGE-UNDECIDED,THALLOPHYTE-PHILIS,COVARIANT-COVARIATE,FRATRICIDE-ANTHRACITE,KAELA-MALTOSE,SHACKLER-DISSENTER,TERRORIZED-CONFAB,QUAD-REOPEN,SHADINESS-SCHOOLBOY,,English comprehension,UNIVERSITY-UNIVERSITY,DYNAMIC-DYNAMIC,Worker ID,Do you understand and consent to these terms?
26/07/2019 08:55:13,Female,23,Bachelor's degree,2,4,3,3,1,4,2,1,4,4,1,1,4,4,4,4,2,4,1,4,3,3,2,5,2,1,2,2,2,4,,4,3,4,A1E871MYGG82R9,Yes
26/07/2019 08:56:14,Female,27,Master's degree,2,3,3,4,3,5,5,5,3,5,5,3,5,1,5,5,5,5,5,5,1,2,2,5,1,3,1,3,3,3,,3,5,5,A3CTW7XNQ7K1HC,Yes
26/07/2019 08:57:42,Female,23,Master's degree,5,5,3,5,5,5,4,3,2,5,2,5,5,1,2,4,2,,5,5,4,3,4,4,4,5,1,3,2,2,,3,,,A3P5HAFP9QQUS5,Yes
26/07/2019 09:00:09,Male,31,Bachelor's degree,3,4,5,3,3,4,4,3,4,4,4,4,5,5,4,5,4,5,5,4,4,4,4,4,2,2,3,1,1,1,,5,5,5,ARZ9KWKL0P8ND,Yes
26/07/2019 09:01:00,Male,34,Master's degree,3,2,4,1,4,3,4,3,4,4,4,4,4,4,4,4,4,5,4,3,2,3,4,4,1,1,3,1,1,1,,5,5,5,A1UYK7SUH7SQ6W,Yes
26/07/2019 09:08:42,Female,23,Bachelor's degree,1,3,2,3,4,2,4,4,2,3,2,3,3,2,4,2,4,3,4,3,5,4,4,2,3,3,2,3,1,4,,3,2,4,A3JOJGZTBDVG4W,Yes
26/07/2019 09:09:41,Male,30,Master's degree,2,2,1,2,1,3,5,3,2,3,1,4,5,5,4,1,3,2,3,5,5,2,2,1,5,1,1,1,1,1,,5,5,5,AUT3TC69NW1F8,Yes
26/07/2019 09:23:55,Female,37,Master's degree,2,1,2,3,1,2,5,2,1,2,4,4,3,4,4,4,4,2,2,2,3,1,2,2,1,1,1,1,1,1,,4,5,5,A1H3KZUJGS2GEL,Yes
26/07/2019 09:29:28,Male,43,Bachelor's degree,4,5,5,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,5,4,5,4,4,4,5,4,4,4,5,4,,2,4,4,A3MSSC9YBL0XA6,Yes
26/07/2019 09:34:36,Female,40,Bachelor's degree,1,1,3,1,1,1,1,1,4,2,3,1,3,3,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,,5,5,5,A37PIUFK0S7FGQ,Yes
