HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
3D17ECOUOEV05L6ZR6SJH1Q9K36310,34S6YYW6IUSPRRIPDARPF13JDKFSBA,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Mon Aug 05 02:11:31 PDT 2019,106,BatchId:3725877;OriginalHitTemplateId:920937340;,1200,259200,Mon Aug 12 02:11:31 PDT 2019,,,3018Q3ZVOIQR4V2VOHRAZKHGM0DRAO,AMPMTF5IAAMK8,Approved,Mon Aug 05 05:37:49 PDT 2019,Mon Aug 05 05:46:58 PDT 2019,Thu Aug 08 05:46:58 PDT 2019,Mon Aug 05 05:49:27 PDT 2019,,,549,100% (3/3),100% (3/3),100% (3/3),4669de4a-a7c1-439b-a4e4-6ea47bbfb3cb,,
3D17ECOUOEV05L6ZR6SJH1Q9K36310,34S6YYW6IUSPRRIPDARPF13JDKFSBA,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Mon Aug 05 02:11:31 PDT 2019,106,BatchId:3725877;OriginalHitTemplateId:920937340;,1200,259200,Mon Aug 12 02:11:31 PDT 2019,,,31HQ4X3T3SAK1TTC0XG5Y82N2EQSLQ,A3BP890CXV4UMN,Rejected,Mon Aug 05 03:31:47 PDT 2019,Mon Aug 05 03:39:13 PDT 2019,Thu Aug 08 03:39:13 PDT 2019,,Mon Aug 05 03:44:01 PDT 2019,"Did not click the audio button once. 

Therefore, did not take the time to read the instructions to understand what was required",446,50% (1/2),50% (1/2),50% (1/2),70a2d796-8dc3-4da1-bfd3-0e440e8321d4,,
3D17ECOUOEV05L6ZR6SJH1Q9K36310,34S6YYW6IUSPRRIPDARPF13JDKFSBA,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Mon Aug 05 02:11:31 PDT 2019,106,BatchId:3725877;OriginalHitTemplateId:920937340;,1200,259200,Mon Aug 12 02:11:31 PDT 2019,,,31N2WW6R9RQUHKY1O7C6VNPRD3Q3FR,AB1O66FQ805EG,Approved,Mon Aug 05 06:51:57 PDT 2019,Mon Aug 05 07:01:27 PDT 2019,Thu Aug 08 07:01:27 PDT 2019,Mon Aug 05 07:09:07 PDT 2019,,,570,100% (2/2),100% (2/2),100% (2/2),40a7138c-a80f-4f0e-b04e-399446c9158b,,
3D17ECOUOEV05L6ZR6SJH1Q9K36310,34S6YYW6IUSPRRIPDARPF13JDKFSBA,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Mon Aug 05 02:11:31 PDT 2019,106,BatchId:3725877;OriginalHitTemplateId:920937340;,1200,259200,Mon Aug 12 02:11:31 PDT 2019,,,31QNSG6A5RT33OP1I59QYCKLV0I871,A1MIB492BU9KIQ,Approved,Mon Aug 05 05:12:28 PDT 2019,Mon Aug 05 05:24:33 PDT 2019,Thu Aug 08 05:24:33 PDT 2019,Mon Aug 05 05:49:27 PDT 2019,,,725,100% (2/2),100% (2/2),100% (2/2),19083714-f054-4455-b068-f6da1bb2fdd3,,
3D17ECOUOEV05L6ZR6SJH1Q9K36310,34S6YYW6IUSPRRIPDARPF13JDKFSBA,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Mon Aug 05 02:11:31 PDT 2019,106,BatchId:3725877;OriginalHitTemplateId:920937340;,1200,259200,Mon Aug 12 02:11:31 PDT 2019,,,324G5B4FB38LLZKYN1WB5XE3C27077,A21XSR8BER3AUQ,Approved,Mon Aug 05 05:14:52 PDT 2019,Mon Aug 05 05:22:29 PDT 2019,Thu Aug 08 05:22:29 PDT 2019,Mon Aug 05 05:49:27 PDT 2019,,,457,100% (2/2),100% (2/2),100% (2/2),d5b36a2f-c690-4c09-b72f-4ccab8a54ba9,,
3D17ECOUOEV05L6ZR6SJH1Q9K36310,34S6YYW6IUSPRRIPDARPF13JDKFSBA,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Mon Aug 05 02:11:31 PDT 2019,106,BatchId:3725877;OriginalHitTemplateId:920937340;,1200,259200,Mon Aug 12 02:11:31 PDT 2019,,,32ZKVD547FN443MLJ5QACXY6Y4E3BN,A2IBTYRQIZX1N6,Approved,Mon Aug 05 03:44:58 PDT 2019,Mon Aug 05 03:54:07 PDT 2019,Thu Aug 08 03:54:07 PDT 2019,Mon Aug 05 05:05:08 PDT 2019,,,549,100% (2/2),100% (2/2),100% (2/2),49ca7fec-cde3-4315-8002-0c34c8bdbf5b,,
3D17ECOUOEV05L6ZR6SJH1Q9K36310,34S6YYW6IUSPRRIPDARPF13JDKFSBA,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Mon Aug 05 02:11:31 PDT 2019,106,BatchId:3725877;OriginalHitTemplateId:920937340;,1200,259200,Mon Aug 12 02:11:31 PDT 2019,,,336KAV9KYQSBWTJDPXQP1YRFD0R2YN,A1I0DV4B4MFQCL,Approved,Mon Aug 05 07:28:00 PDT 2019,Mon Aug 05 07:36:35 PDT 2019,Thu Aug 08 07:36:35 PDT 2019,Mon Aug 05 08:40:18 PDT 2019,,,515,100% (2/2),100% (2/2),100% (2/2),e61431cd-98b7-493b-a4ab-91f19556b903,,
3D17ECOUOEV05L6ZR6SJH1Q9K36310,34S6YYW6IUSPRRIPDARPF13JDKFSBA,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Mon Aug 05 02:11:31 PDT 2019,106,BatchId:3725877;OriginalHitTemplateId:920937340;,1200,259200,Mon Aug 12 02:11:31 PDT 2019,,,33FOTY3KEMLR450CA18MZOPRI541C4,A1WPCMXFU9NH9G,Approved,Mon Aug 05 05:20:25 PDT 2019,Mon Aug 05 05:31:43 PDT 2019,Thu Aug 08 05:31:43 PDT 2019,Mon Aug 05 05:49:28 PDT 2019,,,678,100% (3/3),100% (3/3),100% (3/3),efc4c73e-00f5-4fa0-8f98-db3e975652de,,
3D17ECOUOEV05L6ZR6SJH1Q9K36310,34S6YYW6IUSPRRIPDARPF13JDKFSBA,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Mon Aug 05 02:11:31 PDT 2019,106,BatchId:3725877;OriginalHitTemplateId:920937340;,1200,259200,Mon Aug 12 02:11:31 PDT 2019,,,33IZTU6J811F1NA1EGJT92XA9OASXO,A36UNYMDBED99W,Approved,Mon Aug 05 06:13:20 PDT 2019,Mon Aug 05 06:23:51 PDT 2019,Thu Aug 08 06:23:51 PDT 2019,Mon Aug 05 06:41:55 PDT 2019,,,631,100% (2/2),100% (2/2),100% (2/2),400a7a28-e107-437a-8198-1b67ab7cfed6,,
3D17ECOUOEV05L6ZR6SJH1Q9K36310,34S6YYW6IUSPRRIPDARPF13JDKFSBA,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Mon Aug 05 02:11:31 PDT 2019,106,BatchId:3725877;OriginalHitTemplateId:920937340;,1200,259200,Mon Aug 12 02:11:31 PDT 2019,,,33M4IA01QG1308AOZRJOJSSENM1RX9,A3ZFS92VR4I2H,Approved,Mon Aug 05 06:50:36 PDT 2019,Mon Aug 05 06:59:08 PDT 2019,Thu Aug 08 06:59:08 PDT 2019,Mon Aug 05 07:10:22 PDT 2019,,,512,100% (2/2),100% (2/2),100% (2/2),f5183eb5-1be1-4223-870b-e81b4fc6aef2,,
