"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-UK","UPDATE-UK","CURRENT-Trustwords","UPDATE-Trustwords","CURRENT-English Fluency","UPDATE-English Fluency","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A002160837SWJFPIAI7L7","https://master-requester.mturk.com/workers/A002160837SWJFPIAI7L7","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A094612415T5EHTYKXTQ","https://master-requester.mturk.com/workers/A094612415T5EHTYKXTQ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A105GUJGUWPA0K","https://master-requester.mturk.com/workers/A105GUJGUWPA0K","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1092C7QTLNYRS","https://master-requester.mturk.com/workers/A1092C7QTLNYRS","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A10DEO061A6L3O","https://master-requester.mturk.com/workers/A10DEO061A6L3O","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A10GTES5DWC49Z","https://master-requester.mturk.com/workers/A10GTES5DWC49Z","3","3","100.00%","3","3","100.00%","3","3","100.00%","","","1","","1","","Never Blocked","",""
"A10JNYDSLBH39J","https://master-requester.mturk.com/workers/A10JNYDSLBH39J","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A10LLZZHZVGWRW","https://master-requester.mturk.com/workers/A10LLZZHZVGWRW","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A10RPI745Y429J","https://master-requester.mturk.com/workers/A10RPI745Y429J","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A10TU8SEDT0OPV","https://master-requester.mturk.com/workers/A10TU8SEDT0OPV","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A111TDDZYJOSQ2","https://master-requester.mturk.com/workers/A111TDDZYJOSQ2","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","","","Never Blocked","",""
"A114BI2ZRYWKC0","https://master-requester.mturk.com/workers/A114BI2ZRYWKC0","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A114QMK46LJGUB","https://master-requester.mturk.com/workers/A114QMK46LJGUB","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A116RWC3J620YS","https://master-requester.mturk.com/workers/A116RWC3J620YS","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1171IQSWQS0K8","https://master-requester.mturk.com/workers/A1171IQSWQS0K8","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1191P6AYGGL3O","https://master-requester.mturk.com/workers/A1191P6AYGGL3O","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","0","","Never Blocked","",""
"A11BLQKVW1951L","https://master-requester.mturk.com/workers/A11BLQKVW1951L","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A11BS3GFM9T4FJ","https://master-requester.mturk.com/workers/A11BS3GFM9T4FJ","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","1","","Never Blocked","",""
"A11C5BFIVGFAAY","https://master-requester.mturk.com/workers/A11C5BFIVGFAAY","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A11TREGDHSUSJW","https://master-requester.mturk.com/workers/A11TREGDHSUSJW","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A11UG30LL53IHA","https://master-requester.mturk.com/workers/A11UG30LL53IHA","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A122LRCSBAD6DC","https://master-requester.mturk.com/workers/A122LRCSBAD6DC","3","3","100.00%","3","3","100.00%","3","3","100.00%","","","1","","1","","Never Blocked","",""
"A12A3UI8ZPUAQP","https://master-requester.mturk.com/workers/A12A3UI8ZPUAQP","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A12A5GVJX5RZC4","https://master-requester.mturk.com/workers/A12A5GVJX5RZC4","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A12H9WVHOB0E0O","https://master-requester.mturk.com/workers/A12H9WVHOB0E0O","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A12HIW79ZJ7B50","https://master-requester.mturk.com/workers/A12HIW79ZJ7B50","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A12IHTKQFQIPD1","https://master-requester.mturk.com/workers/A12IHTKQFQIPD1","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A12NNJKHIZP1TY","https://master-requester.mturk.com/workers/A12NNJKHIZP1TY","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A12NO2MNOIREXA","https://master-requester.mturk.com/workers/A12NO2MNOIREXA","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A12V2IEWROX7ZQ","https://master-requester.mturk.com/workers/A12V2IEWROX7ZQ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A133S8TUY7GV0I","https://master-requester.mturk.com/workers/A133S8TUY7GV0I","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A136SBQYT4RFKX","https://master-requester.mturk.com/workers/A136SBQYT4RFKX","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A13GUTDMGGZZDL","https://master-requester.mturk.com/workers/A13GUTDMGGZZDL","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A13LYZJNWXQ78P","https://master-requester.mturk.com/workers/A13LYZJNWXQ78P","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A13ON8YD04U972","https://master-requester.mturk.com/workers/A13ON8YD04U972","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A13ZHDVQO60AXW","https://master-requester.mturk.com/workers/A13ZHDVQO60AXW","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","","","1","","Never Blocked","",""
"A14VE6G1JFUQQG","https://master-requester.mturk.com/workers/A14VE6G1JFUQQG","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A14VRKL7WSSWQ8","https://master-requester.mturk.com/workers/A14VRKL7WSSWQ8","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1528OAWHM4MJS","https://master-requester.mturk.com/workers/A1528OAWHM4MJS","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A154S5IIFDNUHX","https://master-requester.mturk.com/workers/A154S5IIFDNUHX","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A15EZCN5OCG62W","https://master-requester.mturk.com/workers/A15EZCN5OCG62W","3","3","100.00%","3","3","100.00%","3","3","100.00%","","","1","","1","","Never Blocked","",""
"A15FW45U2TJ443","https://master-requester.mturk.com/workers/A15FW45U2TJ443","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A15LSM2OOEZWB1","https://master-requester.mturk.com/workers/A15LSM2OOEZWB1","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A15PHPJA7AWCS3","https://master-requester.mturk.com/workers/A15PHPJA7AWCS3","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A15QN3MLAFSUTT","https://master-requester.mturk.com/workers/A15QN3MLAFSUTT","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A15TFO5B95QVQZ","https://master-requester.mturk.com/workers/A15TFO5B95QVQZ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A15VY1E6KQV4IY","https://master-requester.mturk.com/workers/A15VY1E6KQV4IY","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A15W208ENJ6K9F","https://master-requester.mturk.com/workers/A15W208ENJ6K9F","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A15ZVBSKTWUZHQ","https://master-requester.mturk.com/workers/A15ZVBSKTWUZHQ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1601UNFFAAQOI","https://master-requester.mturk.com/workers/A1601UNFFAAQOI","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A16020LLLA6BI7","https://master-requester.mturk.com/workers/A16020LLLA6BI7","3","3","100.00%","3","3","100.00%","3","3","100.00%","","","1","","1","","Never Blocked","",""
"A161AJDHLJVCLZ","https://master-requester.mturk.com/workers/A161AJDHLJVCLZ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1637SWTM0JDXR","https://master-requester.mturk.com/workers/A1637SWTM0JDXR","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A165J0HHLGVNPB","https://master-requester.mturk.com/workers/A165J0HHLGVNPB","2","2","100.00%","2","2","100.00%","0","0","0.00%","1","","","","1","","Never Blocked","",""
"A166QAW5SI3NVJ","https://master-requester.mturk.com/workers/A166QAW5SI3NVJ","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","0","","Never Blocked","",""
