HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode
386659BNTLH4OT728JA0F3S2HS401M,309SUPN8PF56D54DJNMFAUTDA3OH2F,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 01:41:25 PDT 2019,104,BatchId:3728161;OriginalHitTemplateId:920937340;,1200,259200,Wed Aug 07 02:14:06 PDT 2019,,,308XBLVESI4WN57NUVR6UV1M4T8BRZ,A31U7VGTEOY2RG,Approved,Wed Aug 07 01:44:04 PDT 2019,Wed Aug 07 02:02:54 PDT 2019,Sat Aug 10 02:02:54 PDT 2019,Wed Aug 07 02:51:26 PDT 2019,,,1130,100% (1/1),100% (1/1),100% (1/1),85ac7597-842b-4a7e-93e7-cfce4791f364
386659BNTLH4OT728JA0F3S2HS401M,309SUPN8PF56D54DJNMFAUTDA3OH2F,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 01:41:25 PDT 2019,104,BatchId:3728161;OriginalHitTemplateId:920937340;,1200,259200,Wed Aug 07 02:14:06 PDT 2019,,,30H4UDGLT2I7UJV58SDQ3GC1FAOMP7,A2DDLZD87UHANI,Approved,Wed Aug 07 01:47:51 PDT 2019,Wed Aug 07 02:07:44 PDT 2019,Sat Aug 10 02:07:44 PDT 2019,Wed Aug 07 02:51:26 PDT 2019,,,1193,100% (1/1),100% (1/1),100% (1/1),0134bdae-be04-44f1-9037-cc7993acb8d6
386659BNTLH4OT728JA0F3S2HS401M,309SUPN8PF56D54DJNMFAUTDA3OH2F,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 01:41:25 PDT 2019,104,BatchId:3728161;OriginalHitTemplateId:920937340;,1200,259200,Wed Aug 07 02:14:06 PDT 2019,,,30X31N5D63Q35A2836RFPUMC8D6SA9,A14WLAP6TCEKO0,Approved,Wed Aug 07 01:51:21 PDT 2019,Wed Aug 07 02:10:07 PDT 2019,Sat Aug 10 02:10:07 PDT 2019,Wed Aug 07 02:51:26 PDT 2019,,,1126,100% (1/1),100% (1/1),100% (1/1),9da516a0-b99e-4612-892a-d2a99bb0f560
386659BNTLH4OT728JA0F3S2HS401M,309SUPN8PF56D54DJNMFAUTDA3OH2F,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 01:41:25 PDT 2019,104,BatchId:3728161;OriginalHitTemplateId:920937340;,1200,259200,Wed Aug 07 02:14:06 PDT 2019,,,31IBVUNM9SZETT0K8HICEIHA4XDFVE,AHSXMZBNS9BPA,Approved,Wed Aug 07 01:48:27 PDT 2019,Wed Aug 07 02:06:48 PDT 2019,Sat Aug 10 02:06:48 PDT 2019,Wed Aug 07 02:51:26 PDT 2019,,,1101,100% (1/1),100% (1/1),100% (1/1),819b48cf-ae89-4cdd-804e-3448c51ddfaa
386659BNTLH4OT728JA0F3S2HS401M,309SUPN8PF56D54DJNMFAUTDA3OH2F,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 01:41:25 PDT 2019,104,BatchId:3728161;OriginalHitTemplateId:920937340;,1200,259200,Wed Aug 07 02:14:06 PDT 2019,,,31IBVUNM9SZETT0K8HICEIHA4XFFVG,A3141EW4WZT4Q0,Approved,Wed Aug 07 02:14:34 PDT 2019,Wed Aug 07 02:32:13 PDT 2019,Sat Aug 10 02:32:13 PDT 2019,Wed Aug 07 02:51:26 PDT 2019,,,1059,100% (1/1),100% (1/1),100% (1/1),492b17a5-1ebb-4f18-bbdb-43f77095d62c
386659BNTLH4OT728JA0F3S2HS401M,309SUPN8PF56D54DJNMFAUTDA3OH2F,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 01:41:25 PDT 2019,104,BatchId:3728161;OriginalHitTemplateId:920937340;,1200,259200,Wed Aug 07 02:14:06 PDT 2019,,,320DUZ38G7MBGYWL2CABTF6SAP6JGW,ABDXLB3YCM6XY,Approved,Wed Aug 07 01:46:04 PDT 2019,Wed Aug 07 02:05:09 PDT 2019,Sat Aug 10 02:05:09 PDT 2019,Wed Aug 07 02:51:26 PDT 2019,,,1145,100% (1/1),100% (1/1),100% (1/1),e4a818c8-a9c0-4164-b9f6-507768b8a4ab
386659BNTLH4OT728JA0F3S2HS401M,309SUPN8PF56D54DJNMFAUTDA3OH2F,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 01:41:25 PDT 2019,104,BatchId:3728161;OriginalHitTemplateId:920937340;,1200,259200,Wed Aug 07 02:14:06 PDT 2019,,,32UTUBMZ7GWOGCO43FWGVSQPPZMVBD,A322SGIJC9EPN9,Approved,Wed Aug 07 02:04:54 PDT 2019,Wed Aug 07 02:14:55 PDT 2019,Sat Aug 10 02:14:55 PDT 2019,Wed Aug 07 02:51:26 PDT 2019,,,601,100% (1/1),100% (1/1),100% (1/1),852fa8c4-fcd8-474d-baea-91052e841b4e
386659BNTLH4OT728JA0F3S2HS401M,309SUPN8PF56D54DJNMFAUTDA3OH2F,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 01:41:25 PDT 2019,104,BatchId:3728161;OriginalHitTemplateId:920937340;,1200,259200,Wed Aug 07 02:14:06 PDT 2019,,,340UGXU9DY13CBXA36DB0IIDEKRVUS,A1QJ2VPPZG16EG,Approved,Wed Aug 07 01:42:17 PDT 2019,Wed Aug 07 01:57:57 PDT 2019,Sat Aug 10 01:57:57 PDT 2019,Wed Aug 07 02:01:11 PDT 2019,,,940,100% (1/1),100% (1/1),100% (1/1),9c0a6184-b3b1-491c-adc3-1403611c262e
386659BNTLH4OT728JA0F3S2HS401M,309SUPN8PF56D54DJNMFAUTDA3OH2F,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 01:41:25 PDT 2019,104,BatchId:3728161;OriginalHitTemplateId:920937340;,1200,259200,Wed Aug 07 02:14:06 PDT 2019,,,34MAJL3QP4NKJ41C4QGN4JS0ONB34H,A3QC57KUVJP5EW,Approved,Wed Aug 07 01:41:55 PDT 2019,Wed Aug 07 01:59:30 PDT 2019,Sat Aug 10 01:59:30 PDT 2019,Wed Aug 07 02:51:26 PDT 2019,,,1055,100% (1/1),100% (1/1),100% (1/1),d24ffb34-0e8d-4bac-bf5b-119d2511c9ca
386659BNTLH4OT728JA0F3S2HS401M,309SUPN8PF56D54DJNMFAUTDA3OH2F,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 01:41:25 PDT 2019,104,BatchId:3728161;OriginalHitTemplateId:920937340;,1200,259200,Wed Aug 07 02:14:06 PDT 2019,,,34S6N1K2ZVJVBKFWP346UUVLTEOHLV,AISNLDPD2DFEG,Approved,Wed Aug 07 01:48:28 PDT 2019,Wed Aug 07 02:06:10 PDT 2019,Sat Aug 10 02:06:10 PDT 2019,Wed Aug 07 02:51:26 PDT 2019,,,1062,100% (3/3),100% (3/3),100% (2/2),bc6f0180-f205-417c-914a-83555b82edd2
