HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
3LEG2HW4UFN2AI4OU5TZNTPBF07F2M,37GOL843ZOIG5BBI763GDYCPMUSWEX,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 03:25:54 PDT 2019,9,BatchId:3728197;OriginalHitTemplateId:920937340;,2340,259200,Wed Aug 14 03:25:54 PDT 2019,,,3S3AMIZX3U5LW0GOQUSH0QQ07DQCDA,A17LF7GCAFYMSL,Approved,Wed Aug 07 03:26:10 PDT 2019,Wed Aug 07 03:49:57 PDT 2019,Sat Aug 10 03:49:57 PDT 2019,Wed Aug 07 03:53:13 PDT 2019,,,1427,100% (1/1),100% (1/1),100% (1/1),32b339eb-a6b1-4145-9990-83b4dc230eef,,
3LEG2HW4UFN2AI4OU5TZNTPBF07F2M,37GOL843ZOIG5BBI763GDYCPMUSWEX,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 03:25:54 PDT 2019,9,BatchId:3728197;OriginalHitTemplateId:920937340;,2340,259200,Wed Aug 14 03:25:54 PDT 2019,,,3JC6VJ2SABJ2Z84XRAE7WJCKUT75AT,A2IGPW784OFV3D,Approved,Wed Aug 07 04:05:38 PDT 2019,Wed Aug 07 04:12:55 PDT 2019,Sat Aug 10 04:12:55 PDT 2019,Wed Aug 07 04:52:27 PDT 2019,,,437,100% (1/1),100% (1/1),100% (1/1),90f92a8e-c7a0-472b-8000-5cfe5706c8ae,,
3LEG2HW4UFN2AI4OU5TZNTPBF07F2M,37GOL843ZOIG5BBI763GDYCPMUSWEX,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 03:25:54 PDT 2019,9,BatchId:3728197;OriginalHitTemplateId:920937340;,2340,259200,Wed Aug 14 03:25:54 PDT 2019,,,31IBVUNM9SZETT0K8HICEIHA4XOVF5,A27NBGO9FXJS8Q,Approved,Wed Aug 07 03:51:57 PDT 2019,Wed Aug 07 04:13:34 PDT 2019,Sat Aug 10 04:13:34 PDT 2019,Wed Aug 07 04:52:27 PDT 2019,,,1297,100% (1/1),100% (1/1),100% (1/1),c6528e1a-b43d-4328-bf9f-ad6e241cd3e8,,
3LEG2HW4UFN2AI4OU5TZNTPBF07F2M,37GOL843ZOIG5BBI763GDYCPMUSWEX,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 03:25:54 PDT 2019,9,BatchId:3728197;OriginalHitTemplateId:920937340;,2340,259200,Wed Aug 14 03:25:54 PDT 2019,,,3TU5ZICBRD1D96UGE4IWY31G01Y8Q9,A2WGW5Y3ZFBDEC,Approved,Wed Aug 07 04:05:59 PDT 2019,Wed Aug 07 04:26:16 PDT 2019,Sat Aug 10 04:26:16 PDT 2019,Wed Aug 07 04:52:28 PDT 2019,,,1217,100% (2/2),100% (2/2),100% (2/2),86d2c509-76c9-46d2-b577-a2ef8e58a74c,,
3LEG2HW4UFN2AI4OU5TZNTPBF07F2M,37GOL843ZOIG5BBI763GDYCPMUSWEX,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 03:25:54 PDT 2019,9,BatchId:3728197;OriginalHitTemplateId:920937340;,2340,259200,Wed Aug 14 03:25:54 PDT 2019,,,3300DTYQT2HUI747R74WQDX2B4SEQA,A1V2H0UF94ATWY,Approved,Wed Aug 07 04:40:13 PDT 2019,Wed Aug 07 04:47:45 PDT 2019,Sat Aug 10 04:47:45 PDT 2019,Wed Aug 07 04:52:27 PDT 2019,,,452,100% (1/1),100% (1/1),100% (1/1),6705ee1d-7cbe-4c68-a18c-9fc8133742b1,,
3LEG2HW4UFN2AI4OU5TZNTPBF07F2M,37GOL843ZOIG5BBI763GDYCPMUSWEX,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 03:25:54 PDT 2019,9,BatchId:3728197;OriginalHitTemplateId:920937340;,2340,259200,Wed Aug 14 03:25:54 PDT 2019,,,3MYYFCXHJ37LDGD0Z5N7NDH9SSWG4I,A3F8G26PENQ6EO,Approved,Wed Aug 07 04:45:47 PDT 2019,Wed Aug 07 04:53:33 PDT 2019,Sat Aug 10 04:53:33 PDT 2019,Wed Aug 07 04:58:03 PDT 2019,,,466,100% (1/1),100% (1/1),100% (1/1),b0069df4-053e-41e9-a356-baafee7c3854,,
3LEG2HW4UFN2AI4OU5TZNTPBF07F2M,37GOL843ZOIG5BBI763GDYCPMUSWEX,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 03:25:54 PDT 2019,9,BatchId:3728197;OriginalHitTemplateId:920937340;,2340,259200,Wed Aug 14 03:25:54 PDT 2019,,,3C44YUNSI1P4QPPSVZENKQP76WCDPW,A2VFEDAK5C1E1O,Approved,Wed Aug 07 04:45:25 PDT 2019,Wed Aug 07 04:54:17 PDT 2019,Sat Aug 10 04:54:17 PDT 2019,Wed Aug 07 04:57:46 PDT 2019,,,532,100% (1/1),100% (1/1),100% (1/1),dc6ee4d4-eac2-46b8-a714-4c73160ddad1,,
3LEG2HW4UFN2AI4OU5TZNTPBF07F2M,37GOL843ZOIG5BBI763GDYCPMUSWEX,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 03:25:54 PDT 2019,9,BatchId:3728197;OriginalHitTemplateId:920937340;,2340,259200,Wed Aug 14 03:25:54 PDT 2019,,,33M4IA01QG1308AOZRJOJSSENWHRX9,A1DS5O8MSI3ZH0,Approved,Wed Aug 07 05:38:32 PDT 2019,Wed Aug 07 05:49:29 PDT 2019,Sat Aug 10 05:49:29 PDT 2019,Wed Aug 07 05:56:53 PDT 2019,,,657,100% (1/1),100% (1/1),100% (1/1),7ebddbc2-c6fa-4a3d-9590-d92468750f19,,
3LEG2HW4UFN2AI4OU5TZNTPBF07F2M,37GOL843ZOIG5BBI763GDYCPMUSWEX,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 03:25:54 PDT 2019,9,BatchId:3728197;OriginalHitTemplateId:920937340;,2340,259200,Wed Aug 14 03:25:54 PDT 2019,,,3DY46V3X3PI5T2SGWENQO8WY2FF55W,A2UUKFTD0VUX2S,Approved,Wed Aug 07 06:08:22 PDT 2019,Wed Aug 07 06:21:57 PDT 2019,Sat Aug 10 06:21:57 PDT 2019,Wed Aug 07 06:32:37 PDT 2019,,,815,100% (1/1),100% (1/1),100% (1/1),e9e902c2-f807-4da1-a2de-b7a12baa8132,,
30EV7DWJTVVWSA4KMXXQ2RD31G0Y6K,37GOL843ZOIG5BBI763GDYCPMUSWEX,Interactive verification of words,"Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography",$0.90,Wed Aug 07 06:33:07 PDT 2019,9,BatchId:3728358;OriginalHitTemplateId:920937340;,2340,259200,Wed Aug 07 06:34:18 PDT 2019,,,3300DTYQT2HUI747R74WQDX2B4DEQV,A2EED3HLTA96CP,Approved,Wed Aug 07 06:33:21 PDT 2019,Wed Aug 07 06:51:15 PDT 2019,Sat Aug 10 06:51:15 PDT 2019,Wed Aug 07 07:23:16 PDT 2019,,,1074,100% (1/1),100% (1/1),100% (1/1),427cef1f-9300-4421-a64b-8ed7bed5f289,,
