Timestamp,Do you understand and consent to these terms?,Gender ,Age,Highest Education,English comprehension,Worker ID,FREDA-FREDDY,PACK-PIECE,INHABITED-INHIBITION,CONSTANCE-CINCTURE,SCORECARD-SEGREGATED,SOUP-HYSSOP,REVEILLE-RAFAEL,GIANNINI-JANINA,SADAT-SITUATE,MARTELLE-MYRTLE,COACH-POACH,LORRIE-NORRIE,DANIA-DONIA,LISTON-PISTON,SHEM-THEM,SPITE-SPITZ,CURRAN-CAREN,LAT-LETHIA,NOSH-NASH,GODHOOD-GODARD,BRITAIN-BRITTEN,SUSSEX-NOTHINGNESS,TEXT-TECHS,DALLON-GAELAN,ALIEN-ELIOT,MUFFIN-FUMIGATION,GENUFLECT-SEIGNIOR,TESTIFIER-DOUBLED,MANHOLE-REUTHER,VIABILITY-BEDIM,UNIVERSITY-UNIVERSITY,DYNAMIC-DYNAMIC,Random Average
31/07/2019 12:31:36,Yes,Male,25,GCSE,5,A1ZD8RU6YB0VEU,2,3,2,3,2,2,2,3,4,4,4,4,2,4,4,4,3,3,4,2,1,2,3,2,2,2,1,2,2,1,4,5,1.6
31/07/2019 12:35:09,Yes,Female,32,Master's degree,5,A2YTGHCG4PJKYW,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,4,5,1,1,1,2,1,1,1,1,1,1,1,5,5,1
31/07/2019 13:10:29,Yes,Male,40,Master's degree,5,A1TGBCLWRWTR92,1,3,4,1,3,4,5,5,2,1,5,4,3,3,5,2,5,2,3,5,4,4,3,3,5,1,3,2,1,1,5,5,1.6
31/07/2019 13:10:37,Yes,Female,34,Bachelor's degree,5,A1PBRKFHSF1OF8,2,3,2,2,2,3,4,5,3,2,5,4,3,3,4,4,4,2,3,5,3,3,3,4,3,1,2,1,1,1,5,5,1.2
31/07/2019 13:11:14,Yes,Female,31,A-Level / O-Level,5,A312HQ3OU0EYTB,1,1,1,1,1,4,2,4,1,1,2,4,1,1,4,1,1,1,1,5,1,1,1,2,1,1,1,1,1,1,5,5,1
31/07/2019 13:12:17,Yes,Male,42,Master's degree,5,A2SNIQ9FD2T58Z,2,2,2,1,2,2,4,4,2,1,4,4,3,2,4,3,3,3,3,4,3,2,5,2,3,1,2,1,1,1,5,5,1.2
31/07/2019 13:12:23,Yes,Female,44,Bachelor's degree,5,A1IVRODRZ7H3YZ ,1,1,2,1,1,3,3,4,2,1,5,4,1,4,5,,3,1,1,5,1,1,4,2,,1,1,1,1,,5,5,1
31/07/2019 13:13:59,Yes,Male,34,Bachelor's degree,5,A2J6S7QR4CGXTW,2,1,2,3,3,5,3,4,3,2,4,4,5,5,3,4,3,3,2,3,4,5,5,1,3,1,1,1,1,2,5,5,1.2
31/07/2019 13:14:04,Yes,Female,20,GCSE,5,A2ZHBE1Q1VB54F,4,2,2,1,2,3,3,3,2,2,5,4,5,5,3,2,3,2,3,3,4,2,4,3,4,2,1,3,1,1,5,5,1.6
31/07/2019 13:15:54,Yes,Male,38,Bachelor's degree,5,A2RCYLKY072XXO,3,4,1,4,1,2,3,4,3,1,4,5,5,3,5,5,2,4,3,1,2,4,4,4,4,1,1,2,1,1,5,5,1.2
31/07/2019 13:16:40,Yes,Male,25,PhD,5,AVKYS273GAXRM,3,5,2,3,2,4,5,4,2,3,4,5,5,4,4,4,2,3,3,5,1,3,3,3,4,1,1,1,1,1,5,5,1
31/07/2019 13:16:54,Yes,Female,32,Bachelor's degree,5,A1Y0CLL6EMMN31,1,,1,1,1,,1,2,2,1,3,5,5,3,4,,1,,1,1,1,2,3,4,3,1,1,1,1,1,5,5,1
31/07/2019 13:17:24,Yes,Male,40,Bachelor's degree,5,A3JZS32RQUWGJM,4,4,2,3,1,2,4,3,3,1,4,5,4,4,5,5,2,3,2,3,3,4,4,3,4,1,2,1,2,1,5,5,1.4
31/07/2019 13:17:27,Yes,Female,36,A-Level / O-Level,5,AOI5X12IPYJD,1,3,1,2,1,3,4,4,1,1,4,5,2,4,4,4,2,3,2,3,1,2,4,3,2,1,1,1,1,1,5,5,1
31/07/2019 13:17:29,Yes,Male,51,A-Level / O-Level,5,ACJ6NSCIWMUZI,2,1,1,1,1,1,1,1,2,1,2,3,2,1,3,3,3,1,5,4,1,1,3,1,2,1,1,1,1,1,5,5,1
31/07/2019 13:19:34,Yes,Male,27,Bachelor's degree,5,A122LRCSBAD6DC,1,1,1,1,1,1,1,2,2,1,1,1,3,2,3,1,4,1,3,3,1,4,3,2,2,1,1,1,1,1,5,5,1
31/07/2019 13:28:17,Yes,Female,35,Bachelor's degree,5,A1KFTYQM1YKVOC,4,1,5,2,5,3,5,1,3,4,4,3,4,4,4,2,5,3,5,4,1,1,1,4,1,2,1,1,1,1,5,5,1.2
31/07/2019 13:29:22,Yes,Female,25,Bachelor's degree,5,APGX2WZ59OWDN,2,2,4,3,4,1,5,1,4,3,4,3,3,4,4,2,5,4,4,4,1,1,2,2,1,1,1,1,1,1,5,5,1
31/07/2019 13:32:48,Yes,Male,34,GCSE,5,A2ROSI29CVVKGO,4,1,4,3,3,4,4,1,4,4,5,4,4,4,5,4,4,4,3,4,2,2,3,4,3,2,1,2,1,2,5,5,1.6
31/07/2019 13:39:16,Yes,Female,36,GCSE,5,A3P27SOEKGQI9C,1,4,4,4,1,2,1,1,3,2,4,5,3,3,4,3,1,5,4,5,1,4,1,4,3,1,1,1,1,1,5,5,1
31/07/2019 13:39:31,Yes,Female,37,Bachelor's degree,5,A239EUWY6SNDEZ,2,4,2,4,2,2,1,1,1,,3,5,4,4,5,2,4,5,5,4,1,4,2,3,3,1,1,2,1,1,5,5,1.2
31/07/2019 13:39:36,Yes,Female,28,Master's degree,5,A291UL6WXA711F,1,3,3,3,3,3,1,2,4,2,2,5,3,3,2,3,3,3,,4,1,3,2,3,2,1,1,1,1,2,5,5,1.2
31/07/2019 13:40:08,Yes,Male,48,Bachelor's degree,5,AP9WIQ4P78XLH,2,4,3,3,2,3,1,1,3,3,3,5,4,3,2,2,3,3,3,3,1,4,2,4,2,1,1,1,1,1,5,5,1
31/07/2019 13:56:25,Yes,Male,24,GCSE,5,A10GTES5DWC49Z,1,1,1,2,4,2,1,4,1,1,5,2,4,4,4,2,1,1,4,4,3,1,1,5,4,1,1,1,1,1,5,5,1
31/07/2019 14:01:02,Yes,Male,26,A-Level / O-Level,5,A1V7SD89P2M326,2,3,2,2,2,2,4,2,1,2,4,3,3,4,4,4,2,3,2,3,4,2,1,1,2,1,1,3,1,1,5,5,1.4
31/07/2019 14:01:12,Yes,Female,36,A-Level / O-Level,5,A3QSJY1FFN0N6V,1,2,3,1,1,1,2,2,1,4,4,4,4,5,5,5,4,1,1,1,5,2,1,3,2,1,1,1,1,1,5,5,1
31/07/2019 14:02:14,Yes,Male,65,A-Level / O-Level,5,A19WXS1CLVLEEX,2,2,2,1,1,2,2,3,1,2,4,4,2,4,5,5,2,2,1,3,5,1,1,3,1,1,1,1,1,1,5,5,1
31/07/2019 14:03:07,Yes,Female,53,GCSE,5,A2N6FYJAL406AF,1,4,2,1,2,1,1,2,1,2,4,4,1,4,4,4,3,1,1,2,5,1,1,2,2,1,1,1,1,1,5,5,1
31/07/2019 14:03:49,Yes,Female,25,Master's degree,5,A1FN68YQBAOXCP,4,5,1,2,1,1,4,2,1,,4,5,5,5,5,2,3,3,5,3,4,1,1,4,3,1,1,1,1,1,,5,1
31/07/2019 14:03:53,Yes,Male,23,Bachelor's degree,5,A1UZXOMO6BS6I2,4,3,3,2,2,2,4,2,1,3,5,3,3,3,3,3,4,2,5,3,3,2,1,3,2,2,1,2,1,2,5,5,1.6
31/07/2019 14:04:09,Yes,Male,30,Bachelor's degree,5,A2TAVILLTBWTFU,2,2,3,2,2,4,2,4,2,3,4,5,3,4,5,2,3,3,5,4,3,3,3,5,3,1,1,1,1,1,5,5,1
31/07/2019 14:04:31,Yes,Female,66,Bachelor's degree,5,AZ79FR04OLJX8,1,2,1,1,2,2,2,1,2,2,3,3,3,2,2,3,2,2,1,4,1,1,1,1,1,1,1,1,1,1,5,5,1
31/07/2019 14:04:35,Yes,Female,49,Bachelor's degree,5,A3T3KEK5G6JYTZ,1,2,1,1,2,4,1,4,3,3,5,5,5,5,3,4,4,2,5,4,4,1,2,4,2,1,1,,1,1,5,5,1
31/07/2019 14:05:01,Yes,Female,42,Bachelor's degree,5,AYG3MF094634L,1,2,4,3,3,3,2,1,2,4,3,4,4,3,1,1,1,3,4,4,1,1,1,4,2,1,1,1,1,1,5,5,1
31/07/2019 14:05:09,Yes,Male,35,Bachelor's degree,5,A2FB9PX5DIEN61,3,3,3,4,3,4,4,4,4,3,4,4,3,4,4,3,3,4,3,4,1,1,3,4,3,1,3,1,1,1,5,5,1.4
31/07/2019 14:06:09,Yes,Male,30,Bachelor's degree,5,A1T4HSFG9NPJ23,,4,2,2,3,2,3,4,5,3,4,4,4,4,4,2,2,3,2,5,1,1,2,4,2,1,1,2,1,1,5,5,1.2
31/07/2019 14:06:29,Yes,Female,28,A-Level / O-Level,5,A25HIOE2S953Y4,2,1,5,4,1,3,3,4,3,4,3,3,2,1,2,1,4,4,5,2,1,1,5,2,3,1,1,1,1,1,5,5,1
